Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate,Is_Outlier,Cluster,IQR_Outlier_Tot_Benes,IQR_Outlier_Tot_Srvcs,IQR_Outlier_Avg_Mdcr_Amt,Actual_Outliers
57,86.0,573.08,7.0903934331699245,7.143764608795601,-1.873228168910399,False,0,False,False,False,False
12,19.0,604.2,-5.652060142261109,-4.3422764555639155,0.34413110951213,False,0,False,False,False,False
64,74.0,756.49,9.072552878236973,5.086563224134196,11.195083696625463,False,2,False,False,False,False
27,31.0,577.32,-1.404575617117431,-2.28507507090251,-1.5711200924158117,False,0,False,False,False,False
90,150.0,820.24,16.434859388486018,18.115505326989766,15.7373926297693,False,2,True,True,False,True
12,22.0,588.71,-5.652060142261109,-3.827976109398565,-0.759560896360781,False,0,False,False,False,False
58,89.0,393.73,7.373559068179503,7.6580649549609525,-14.65225730082173,False,0,False,True,False,True
98,146.0,569.69,18.700184468562643,17.42977153210263,-2.1147721262964,True,2,True,True,False,True
14,15.0,695.56,-5.085728872241953,-5.028010250451052,6.8537051351124525,False,0,False,False,False,False
14,18.0,519.11,-5.085728872241953,-4.513709904285699,-5.718693472781349,False,0,False,False,False,False
16,19.0,470.97,-4.519397602222795,-4.3422764555639155,-9.14876017147224,False,0,False,False,False,False
55,69.0,576.34,6.524062163150768,4.229395980525275,-1.64094695915277,False,0,False,False,False,False
17,19.0,807.64,-4.236231967213217,-4.3422764555639155,14.839618628865574,False,2,False,False,False,False
11,12.0,596.41,-5.935225777270689,-5.542310596616403,-0.21092122914184402,False,0,False,False,False,False
11,15.0,588.71,-5.935225777270689,-5.028010250451052,-0.759560896360781,False,0,False,False,False,False
11,14.0,588.71,-5.935225777270689,-5.199443699172836,-0.759560896360781,False,0,False,False,False,False
17,20.0,582.05,-4.236231967213217,-4.170843006842132,-1.2340985825527548,False,0,False,False,False,False
70,81.0,741.88,10.771546688294444,6.286597365186681,10.154093367006146,False,2,True,False,False,True
13,21.0,444.41,-5.3688945072515315,-3.999409558120348,-11.041210763853421,False,0,False,False,False,False
13,22.0,369.6,-5.3688945072515315,-3.827976109398565,-16.371565764457195,False,0,False,False,False,False
12,14.0,774.34,-5.652060142261109,-5.199443699172836,12.46693019790574,False,2,False,False,False,False
12,14.0,727.51,-5.652060142261109,-5.199443699172836,9.130203494546896,False,2,False,False,False,False
13,17.0,467.5,-5.3688945072515315,-4.685143353007483,-9.396004281244934,False,0,False,False,False,False
27,34.0,592.58,-1.404575617117431,-1.7707747247371581,-0.483816024654637,False,0,False,False,False,False
24,34.0,580.55,-2.254072522146167,-1.7707747247371581,-1.3409764398031978,False,0,False,False,False,False
28,31.0,812.62,-1.1214099821078531,-2.28507507090251,15.194453114937048,False,2,False,False,False,False
35,45.0,783.12,0.860749462959196,0.114993211202463,13.092521922344996,False,2,False,False,False,False
26,40.0,588.62,-1.68774125212701,-0.742174032406455,-0.7659735677958099,False,0,False,False,False,False
30,42.0,552.26,-0.555078712088695,-0.39930713496288694,-3.3566928275465555,False,0,False,False,False,False
16,23.0,556.06,-4.519397602222795,-3.656542660676781,-3.085935589178769,False,0,False,False,False,False
11,12.0,575.45,-5.935225777270689,-5.542310596616403,-1.704361154454698,False,0,False,False,False,False
18,24.0,560.22,-3.953066332203638,-3.4851092119549967,-2.7895276650708674,False,0,False,False,False,False
29,48.0,446.09,-0.8382443470982739,0.6292935573678151,-10.921507563732927,False,0,False,False,False,False
107,144.0,767.3,21.24867518364885,17.086904634659067,11.965316787876986,False,2,True,True,False,True
31,36.0,552.73,-0.271913077079117,-1.4279078272935912,-3.323204432274748,False,0,False,False,False,False
41,55.0,572.51,2.559743273016668,1.8293276984203017,-1.9138417546655706,False,0,False,False,False,False
24,28.0,593.97,-2.254072522146167,-2.799375417067862,-0.38477587693589405,False,0,False,False,False,False
19,25.0,588.71,-3.66990069719406,-3.313675763233213,-0.759560896360781,False,0,False,False,False,False
14,16.0,581.35,-5.085728872241953,-4.8565768017292665,-1.2839749159362899,False,0,False,False,False,False
13,16.0,570.31,-5.3688945072515315,-4.8565768017292665,-2.0705959452995577,False,0,False,False,False,False
11,16.0,321.2,-5.935225777270689,-4.8565768017292665,-19.820157958404835,False,0,False,False,False,False
11,12.0,814.81,-5.935225777270689,-5.542310596616403,15.350494786522692,False,2,False,False,False,False
33,46.0,560.93,0.29441819294003896,0.286426659924247,-2.7389388126389957,False,0,False,False,False,False
69,90.0,588.58,10.488381053284863,7.829498403682736,-0.7688236439891519,False,2,True,True,False,True
59,68.0,809.84,7.656724703189082,4.057962531803493,14.996372819499562,False,2,False,False,False,False
11,13.0,561.63,-5.935225777270689,-5.370877147894619,-2.689062479255453,False,0,False,False,False,False
16,21.0,776.01,-4.519397602222795,-3.999409558120348,12.585920878977896,False,2,False,False,False,False
82,124.0,740.86,14.169534308409386,13.658235660223388,10.081416424075844,False,2,True,True,False,True
22,30.0,561.49,-2.820403792165324,-2.456508519624294,-2.6990377459321593,False,0,False,False,False,False
20,28.0,534.04,-3.386735062184481,-2.799375417067862,-4.654902533615274,False,0,False,False,False,False
27,37.0,584.13,-1.404575617117431,-1.256474378571807,-1.0858946204988038,False,0,False,False,False,False
32,45.0,784.39,0.011252557930461,0.114993211202463,13.183011841483705,False,2,False,False,False,False
52,71.0,740.4,5.674565258122032,4.572262877968844,10.048640547852372,False,2,False,False,False,False
21,27.0,588.71,-3.103569427174902,-2.9708088657896448,-0.759560896360781,False,0,False,False,False,False
26,38.0,573.6,-1.68774125212701,-1.085040929850023,-1.836177178396913,False,0,False,False,False,False
18,22.0,587.7,-3.953066332203638,-3.827976109398565,-0.831525320242745,False,0,False,False,False,False
20,32.0,578.76,-3.386735062184481,-2.1136416221807264,-1.468517349455391,False,0,False,False,False,False
11,15.0,588.94,-5.935225777270689,-5.028010250451052,-0.743172958249045,False,0,False,False,False,False
45,56.0,794.86,3.692405813054982,2.000761147142085,13.929019285091801,False,2,False,False,False,False
14,17.0,790.85,-5.085728872241953,-4.685143353007483,13.64329914670895,False,2,False,False,False,False
26,33.0,571.77,-1.68774125212701,-1.942208173458942,-1.9665681642424568,False,0,False,False,False,False
14,16.0,568.82,-5.085728872241953,-4.8565768017292665,-2.1767612835016568,False,0,False,False,False,False
26,39.0,793.92,-1.68774125212701,-0.9136074811282389,13.862042494548186,False,2,False,False,False,False
19,25.0,794.8,-3.66990069719406,-3.313675763233213,13.92474417080178,False,2,False,False,False,False
27,29.0,588.71,-1.404575617117431,-2.627941968346078,-0.759560896360781,False,0,False,False,False,False
32,38.0,571.43,0.011252557930461,-1.085040929850023,-1.990793811885893,False,0,False,False,False,False
20,30.0,461.4,-3.386735062184481,-2.456508519624294,-9.83064090073007,False,0,False,False,False,False
34,37.0,572.49,0.577583827949618,-1.256474378571807,-1.9152667927622418,False,0,False,False,False,False
20,26.0,536.4,-3.386735062184481,-3.1422423145114293,-4.486748038207909,False,0,False,False,False,False
22,23.0,779.38,-2.820403792165324,-3.656542660676781,12.826039798267226,False,2,False,False,False,False
53,88.0,551.99,5.957730893131611,7.486631506239169,-3.375930841851634,False,0,False,True,False,True
18,24.0,464.69,-3.953066332203638,-3.4851092119549967,-9.596222133827432,False,0,False,False,False,False
27,32.0,515.25,-1.404575617117431,-2.1136416221807264,-5.993725825439157,False,0,False,False,False,False
30,41.0,546.83,-0.555078712088695,-0.570740583684671,-3.7435906707931563,False,0,False,False,False,False
28,33.0,586.73,-1.1214099821078531,-1.942208173458942,-0.900639667931367,False,0,False,False,False,False
27,32.0,534.66,-1.404575617117431,-2.1136416221807264,-4.610726352618424,False,0,False,False,False,False
20,33.0,808.6,-3.386735062184481,-1.942208173458942,14.908020457505863,False,2,False,False,False,False
42,56.0,571.89,2.8429089080262457,2.000761147142085,-1.958017935662421,False,0,False,False,False,False
55,66.0,571.65,6.524062163150768,3.715095634359924,-1.975118392822493,False,0,False,False,False,False
20,21.0,776.01,-3.386735062184481,-3.999409558120348,12.585920878977896,False,2,False,False,False,False
20,27.0,757.75,-3.386735062184481,-2.9708088657896448,11.284861096715836,False,2,False,False,False,False
23,29.0,559.42,-2.537238157155745,-2.627941968346078,-2.846529188937775,False,0,False,False,False,False
20,30.0,593.22,-3.386735062184481,-2.456508519624294,-0.43821480556111503,False,0,False,False,False,False
89,119.0,783.81,16.151693753476437,12.80106841661447,13.141685736680198,False,2,True,True,False,True
11,17.0,527.4,-5.935225777270689,-4.685143353007483,-5.128015181710569,False,0,False,False,False,False
14,16.0,529.84,-5.085728872241953,-4.8565768017292665,-4.95416053391651,False,0,False,False,False,False
20,25.0,588.71,-3.386735062184481,-3.313675763233213,-0.759560896360781,False,0,False,False,False,False
17,19.0,524.98,-4.236231967213217,-4.3422764555639155,-5.300444791407948,False,0,False,False,False,False
16,20.0,553.34,-4.519397602222795,-4.170843006842132,-3.2797407703262333,False,0,False,False,False,False
15,19.0,572.81,-4.802563237232374,-4.3422764555639155,-1.8924661832154859,False,0,False,False,False,False
13,17.0,470.97,-5.3688945072515315,-4.685143353007483,-9.14876017147224,False,0,False,False,False,False
14,15.0,533.76,-5.085728872241953,-5.028010250451052,-4.674853066968689,False,0,False,False,False,False
69,80.0,799.53,10.488381053284863,6.115163916464898,14.261765680664844,False,2,True,False,False,True
78,91.0,777.36,13.036871768371071,8.00093185240452,12.682110950503297,False,2,True,True,False,True
11,12.0,549.46,-5.935225777270689,-5.542310596616403,-3.556198161080712,False,0,False,False,False,False
16,18.0,538.25,-4.519397602222795,-4.513709904285699,-4.354932014265694,False,0,False,False,False,False
22,28.0,585.29,-2.820403792165324,-2.799375417067862,-1.0032424108917968,False,0,False,False,False,False
11,15.0,572.22,-5.935225777270689,-5.028010250451052,-1.9345048070673208,False,0,False,False,False,False
31,40.0,708.98,-0.271913077079117,-0.742174032406455,7.809905697979757,False,2,False,False,False,False
49,70.0,773.4,4.825068353093296,4.400829429247059,12.399953407362123,False,2,False,False,False,False
13,18.0,571.8,-5.3688945072515315,-4.513709904285699,-1.9644306070974498,False,0,False,False,False,False
73,91.0,750.1,11.62104359332318,8.00093185240452,10.739784024738578,False,2,True,True,False,True
17,26.0,532.1,-4.236231967213217,-3.1422423145114293,-4.79313122899251,False,0,False,False,False,False
19,26.0,588.71,-3.66990069719406,-3.1422423145114293,-0.759560896360781,False,0,False,False,False,False
20,24.0,576.45,-3.386735062184481,-3.4851092119549967,-1.6331092496210697,False,0,False,False,False,False
14,16.0,529.84,-5.085728872241953,-4.8565768017292665,-4.95416053391651,False,0,False,False,False,False
58,73.0,532.78,7.373559068179503,4.915129775412412,-4.744679933705646,False,0,False,False,False,False
12,13.0,576.47,-5.652060142261109,-5.370877147894619,-1.6316842115243977,False,0,False,False,False,False
40,49.0,566.84,2.276577638007089,0.800727006089598,-2.3178400550722436,False,0,False,False,False,False
20,25.0,474.91,-3.386735062184481,-3.313675763233213,-8.868027666427743,False,0,False,False,False,False
28,37.0,588.71,-1.1214099821078531,-1.256474378571807,-0.759560896360781,False,0,False,False,False,False
21,32.0,467.45,-3.103569427174902,-2.1136416221807264,-9.399566876486615,False,0,False,False,False,False
28,34.0,483.6,-1.1214099821078531,-1.7707747247371581,-8.248848613423508,False,0,False,False,False,False
18,20.0,576.94,-3.953066332203638,-4.170843006842132,-1.5981958162525909,False,0,False,False,False,False
49,60.0,524.45,4.825068353093296,2.686494942029221,-5.338208300969768,False,0,False,False,False,False
18,21.0,588.24,-3.953066332203638,-3.999409558120348,-0.793049291632588,False,0,False,False,False,False
43,53.0,585.69,3.126074543035825,1.486460800976734,-0.9747416489583389,False,0,False,False,False,False
18,28.0,545.18,-3.953066332203638,-2.799375417067862,-3.86115631376865,False,0,False,False,False,False
18,26.0,812.4,-3.953066332203638,-3.1422423145114293,15.178777695873647,False,2,False,False,False,False
49,61.0,768.06,4.825068353093296,2.857928390751005,12.019468235550544,False,2,False,False,False,False
22,30.0,586.02,-2.820403792165324,-2.456508519624294,-0.951228520363246,False,0,False,False,False,False
24,30.0,529.5,-2.254072522146167,-2.456508519624294,-4.978386181559946,False,0,False,False,False,False
19,24.0,586.26,-3.66990069719406,-3.4851092119549967,-0.9341280632031749,False,0,False,False,False,False
16,18.0,579.87,-4.519397602222795,-4.513709904285699,-1.3894277350900617,False,0,False,False,False,False
11,13.0,549.08,-5.935225777270689,-5.370877147894619,-3.5832738849174914,False,0,False,False,False,False
15,21.0,584.41,-4.802563237232374,-3.999409558120348,-1.0659440871453898,False,0,False,False,False,False
25,27.0,518.91,-1.9709068871365882,-2.9708088657896448,-5.732943853748077,False,0,False,False,False,False
12,17.0,588.71,-5.652060142261109,-4.685143353007483,-0.759560896360781,False,0,False,False,False,False
