Tot_Benes,Tot_Srvcs,Avg_Mdcr_Stdzd_Amt,Tot_Benes_standard_normal_variate,Tot_Srvcs_standard_normal_variate,Avg_Mdcr_Stdzd_Amt_standard_normal_variate
46,51.0,742.92,0.37763190140104763,0.09755720069734733,0.9874444361029442
15,20.0,506.29,-0.5204759067302392,-0.4727408814279734,-0.6395499501970352
23,29.0,559.42,-0.28870614979313297,-0.30717047048836416,-0.2742445715716799
32,46.0,501.29,-0.027965173238888405,0.0055736390642310875,-0.6739283972726381
42,51.0,523.68,0.26174702293249447,0.09755720069734733,-0.5199817112680891
15,39.0,248.3,-0.5204759067302392,-0.12320334722213165,-2.4134090624039906
12,15.0,569.09,-0.6073895655816541,-0.5647244430610896,-0.20775665492746354
20,24.0,813.33,-0.37561980864454786,-0.3991540321214804,1.471561727821584
14,16.0,529.84,-0.5494471263473776,-0.5463277307344664,-0.4776274644709458
57,70.0,763.65,0.6963153171895687,0.4470947349031891,1.1299774776783937
11,13.0,829.71,-0.6363607851987925,-0.6015178677143361,1.5841855204412587
14,15.0,525.92,-0.5494471263473776,-0.5647244430610896,-0.504580166978219
43,59.0,800.47,0.29071824254963274,0.24473089931033332,1.3831403619431333
13,20.0,814.81,-0.5784183459645158,-0.4727408814279734,1.4817377481559617
14,16.0,784.97,-0.5494471263473776,-0.5463277307344664,1.2765671760087645
58,89.0,393.73,0.7252865368067071,0.7966322691090308,-1.4134775507630064
12,17.0,588.71,-0.6073895655816541,-0.5279310184078432,-0.07285562860279797
70,85.0,747.91,1.0729411722123665,0.7230454198025378,1.0217541262843959
12,14.0,580.3,-0.6073895655816541,-0.5831211553877129,-0.1306801765839625
41,58.0,814.65,0.23277580331535616,0.22633418698371008,1.4806376378495427
34,44.0,781.02,0.029977265995388167,-0.03121978558901541,1.249408202819038
16,23.0,461.68,-0.49150468711310097,-0.41755074444810364,-0.9462744550055638
74,88.0,782.91,1.1888260506809196,0.7782355567824075,1.2624032558136158
12,18.0,556.0,-0.6073895655816541,-0.5095343060812199,-0.297759429371392
12,19.0,551.3,-0.6073895655816541,-0.49113759375459665,-0.330075169622459
14,18.0,515.12,-0.5494471263473776,-0.5095343060812199,-0.5788376126615208
19,90.0,152.46,-0.40459102826168614,0.815028981435654,-3.0723751359491454
25,29.0,588.71,-0.23076371055885642,-0.30717047048836416,-0.07285562860279797
14,19.0,588.71,-0.5494471263473776,-0.49113759375459665,-0.07285562860279797
36,45.0,587.74,0.08791970522966475,-0.012823073262392161,-0.0795250473354651
24,31.0,588.71,-0.2597349301759947,-0.2703770458351176,-0.07285562860279797
29,36.0,792.18,-0.11487883209030327,-0.1783934842020014,1.3261408966917834
18,24.0,588.71,-0.4335622478788244,-0.3991540321214804,-0.07285562860279797
15,22.0,588.71,-0.5204759067302392,-0.4359474567747269,-0.07285562860279797
26,33.0,524.99,-0.2017924909417181,-0.23358362118187115,-0.5109745581342807
16,19.0,580.33,-0.49150468711310097,-0.49113759375459665,-0.13047390590150829
25,31.0,569.2,-0.23076371055885642,-0.2703770458351176,-0.2070003290918002
14,16.0,566.93,-0.5494471263473776,-0.5463277307344664,-0.22260814406412452
20,27.0,757.75,-0.37561980864454786,-0.34396389514161063,1.0894109101291825
26,71.0,266.61,-0.2017924909417181,0.4654914472298123,-2.2875151892131327
